id,parentId,name,lastName,position,image,email,phone_number,hire_date,job_id,salary,commission_pct,department_id,job_min_salary,location_state,job_max_salary,department_name,department_location_id,department_location_street_address,department_location_postal_code,department_location_country_id,department_location_country_name,department_location_country_region_id,department_location_country_region_name
O-6076,O-6074,John,Chen,Accountant,https://bumbeishvili.github.io/avatars/avatars/portrait21.png,JCHEN,515.124.4269,2005-10-27T20:00:00.000Z,FI_ACCOUNT,8200,,100,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6077,O-6076,Ismael,Sciarra,Accountant,https://bumbeishvili.github.io/avatars/avatars/portrait22.png,ISCIARRA,515.124.4369,2005-10-29T20:00:00.000Z,FI_ACCOUNT,7700,,100,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6078,O-6077,Jose Manuel,Urman,Accountant,https://bumbeishvili.github.io/avatars/avatars/portrait23.png,JMURMAN,515.124.4469,2006-04-06T20:00:00.000Z,FI_ACCOUNT,7800,,100,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6079,O-6075,Luis,Popp,Accountant,https://bumbeishvili.github.io/avatars/avatars/portrait1.png,LPOPP,515.124.4567,2008-01-06T20:00:00.000Z,FI_ACCOUNT,6900,,100,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6080,O-6079,Den,Raphaely,Purchasing Manager,https://bumbeishvili.github.io/avatars/avatars/portrait24.png,DRAPHEAL,515.127.4561,2003-01-06T20:00:00.000Z,PU_MAN,11000,,30,8000,Washington,15000,Purchasing,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6081,O-6079,Alexander,Khoo,Purchasing Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait26.png,AKHOO,515.127.4562,2003-06-17T19:00:00.000Z,PU_CLERK,3100,,30,2500,Washington,5500,Purchasing,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6082,O-6080,Shelli,Baida,Purchasing Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait2.png,SBAIDA,515.127.4563,2006-01-23T20:00:00.000Z,PU_CLERK,2900,,30,2500,Washington,5500,Purchasing,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6083,O-6082,Sigal,Tobias,Purchasing Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait25.png,STOBIAS,515.127.4564,2005-08-23T20:00:00.000Z,PU_CLERK,2800,,30,2500,Washington,5500,Purchasing,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6084,O-6081,Guy,Himuro,Purchasing Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait27.png,GHIMURO,515.127.4565,2006-12-14T20:00:00.000Z,PU_CLERK,2600,,30,2500,Washington,5500,Purchasing,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6085,O-6084,Karen,Colmenares,Purchasing Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait3.png,KCOLMENA,515.127.4566,2007-09-09T20:00:00.000Z,PU_CLERK,2500,,30,2500,Washington,5500,Purchasing,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
O-6086,O-6084,Matthew,Weiss,Stock Manager,https://bumbeishvili.github.io/avatars/avatars/portrait28.png,MWEISS,650.123.1234,2004-08-17T20:00:00.000Z,ST_MAN,8000,,50,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6087,O-6084,Adam,Fripp,Stock Manager,https://bumbeishvili.github.io/avatars/avatars/portrait33.png,AFRIPP,650.123.2234,2005-05-09T20:00:00.000Z,ST_MAN,8200,,50,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6088,O-6087,Payam,Kaufling,Stock Manager,https://bumbeishvili.github.io/avatars/avatars/portrait31.png,PKAUFLIN,650.123.3234,2003-05-31T19:00:00.000Z,ST_MAN,7900,,50,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6089,O-6087,Shanta,Vollman,Stock Manager,https://bumbeishvili.github.io/avatars/avatars/portrait4.png,SVOLLMAN,650.123.4234,2005-11-09T20:00:00.000Z,ST_MAN,6500,,50,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6090,O-6089,Kevin,Mourgos,Stock Manager,https://bumbeishvili.github.io/avatars/avatars/portrait39.png,KMOURGOS,650.123.5234,2007-12-15T20:00:00.000Z,ST_MAN,5800,,50,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6091,O-6090,Julia,Nayer,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait5.png,JNAYER,650.124.1214,2005-08-15T20:00:00.000Z,ST_CLERK,3200,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6092,O-6091,Irene,Mikkilineni,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait10.png,IMIKKILI,650.124.1224,2006-10-27T20:00:00.000Z,ST_CLERK,2700,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6093,O-6091,James,Landry,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait41.png,JLANDRY,650.124.1334,2007-02-13T20:00:00.000Z,ST_CLERK,2400,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6094,O-6092,Steven,Markle,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait48.png,SMARKLE,650.124.1434,2008-04-07T20:00:00.000Z,ST_CLERK,2200,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6095,O-6092,Laura,Bissot,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait11.png,LBISSOT,650.124.5234,2005-09-19T20:00:00.000Z,ST_CLERK,3300,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6096,O-6094,Mozhe,Atkinson,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait50.png,MATKINSO,650.124.6234,2005-11-29T20:00:00.000Z,ST_CLERK,2800,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6097,O-6096,James,Marlow,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait51.png,JAMRLOW,650.124.7234,2005-03-15T21:00:00.000Z,ST_CLERK,2500,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6098,O-6096,TJ,Olson,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait52.png,TJOLSON,650.124.8234,2007-05-09T20:00:00.000Z,ST_CLERK,2100,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6099,O-6098,Jason,Mallin,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait54.png,JMALLIN,650.127.1934,2004-07-13T20:00:00.000Z,ST_CLERK,3300,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6100,O-6098,Michael,Rogers,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait56.png,MROGERS,650.127.1834,2006-09-25T20:00:00.000Z,ST_CLERK,2900,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6101,O-6098,Ki,Gee,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait13.png,KGEE,650.127.1734,2008-01-11T20:00:00.000Z,ST_CLERK,2400,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6102,O-6098,Hazel,Philtanker,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait6.png,HPHILTAN,650.127.1634,2008-03-05T20:00:00.000Z,ST_CLERK,2200,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6103,O-6102,Renske,Ladwig,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait57.png,RLADWIG,650.121.1234,2003-08-13T19:00:00.000Z,ST_CLERK,3600,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6104,O-6102,Stephen,Stiles,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait58.png,SSTILES,650.121.2034,2005-11-25T20:00:00.000Z,ST_CLERK,3200,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6105,O-6104,John,Seo,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait65.png,JSEO,650.121.2019,2006-03-11T20:00:00.000Z,ST_CLERK,2700,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6106,O-6106,Joshua,Patel,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait67.png,JPATEL,650.121.1834,2006-05-05T20:00:00.000Z,ST_CLERK,2500,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6107,O-6106,Trenna,Rajs,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait14.png,TRAJS,650.121.8009,2003-11-16T20:00:00.000Z,ST_CLERK,3500,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6108,O-6106,Curtis,Davies,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait71.png,CDAVIES,650.121.2994,2005-02-28T21:00:00.000Z,ST_CLERK,3100,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6109,O-6108,Randall,Matos,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait73.png,RMATOS,650.121.2874,2006-04-14T20:00:00.000Z,ST_CLERK,2600,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6110,O-6108,Peter,Vargas,Stock Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait79.png,PVARGAS,650.121.2004,2006-08-08T20:00:00.000Z,ST_CLERK,2500,,50,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6111,O-6108,John,Russell,Sales Manager,https://bumbeishvili.github.io/avatars/avatars/portrait81.png,JRUSSEL,011.44.1344.429268,2004-10-31T21:00:00.000Z,SA_MAN,14000,0.4,80,10000,Oxford,20080,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6112,O-6109,Karen,Partners,Sales Manager,https://bumbeishvili.github.io/avatars/avatars/portrait15.png,KPARTNER,011.44.1344.467268,2005-02-04T21:00:00.000Z,SA_MAN,13500,0.3,80,10000,Oxford,20080,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6113,O-6112,Alberto,Errazuriz,Sales Manager,https://bumbeishvili.github.io/avatars/avatars/portrait82.png,AERRAZUR,011.44.1344.429278,2005-04-09T20:00:00.000Z,SA_MAN,12000,0.3,80,10000,Oxford,20080,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6114,O-6112,Gerald,Cambrault,Sales Manager,https://bumbeishvili.github.io/avatars/avatars/portrait83.png,GCAMBRAU,011.44.1344.619268,2007-11-14T20:00:00.000Z,SA_MAN,11000,0.3,80,10000,Oxford,20080,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6115,O-6113,Eleni,Zlotkey,Sales Manager,https://bumbeishvili.github.io/avatars/avatars/portrait32.png,EZLOTKEY,011.44.1344.429018,2008-02-28T20:00:00.000Z,SA_MAN,10500,0.2,80,10000,Oxford,20080,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6116,O-6113,Peter,Tucker,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait84.png,PTUCKER,011.44.1344.129268,2005-03-01T21:00:00.000Z,SA_REP,10000,0.3,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6117,O-6115,David,Bernstein,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait87.png,DBERNSTE,011.44.1344.345268,2005-04-23T20:00:00.000Z,SA_REP,9500,0.25,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6118,O-6116,Peter,Hall,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait90.png,PHALL,011.44.1344.478968,2005-09-19T20:00:00.000Z,SA_REP,9000,0.25,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6119,O-6118,Christopher,Olsen,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait91.png,COLSEN,011.44.1344.498718,2006-04-29T20:00:00.000Z,SA_REP,8000,0.2,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6120,O-6119,Nanette,Cambrault,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait34.png,NCAMBRAU,011.44.1344.987668,2007-01-08T20:00:00.000Z,SA_REP,7500,0.2,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6121,O-6117,Oliver,Tuvault,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait97.png,OTUVAULT,011.44.1344.486508,2007-12-22T20:00:00.000Z,SA_REP,7000,0.15,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6122,O-6121,Janette,King,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait35.png,JKING,011.44.1345.429268,2004-02-29T20:00:00.000Z,SA_REP,10000,0.35,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6123,O-6114,Patrick,Sully,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait98.png,PSULLY,011.44.1345.929268,2004-04-03T19:00:00.000Z,SA_REP,9500,0.35,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6124,O-6123,Allan,McEwen,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait99.png,AMCEWEN,011.44.1345.829268,2004-08-31T20:00:00.000Z,SA_REP,9000,0.35,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6125,O-6110,Lindsey,Smith,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait36.png,LSMITH,011.44.1345.729268,2005-04-09T20:00:00.000Z,SA_REP,8000,0.3,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6126,O-6125,Louise,Doran,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait37.png,LDORAN,011.44.1345.629268,2006-01-14T20:00:00.000Z,SA_REP,7500,0.3,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6127,O-6126,Sarath,Sewall,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait38.png,SSEWALL,011.44.1345.529268,2006-12-02T20:00:00.000Z,SA_REP,7000,0.25,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6128,O-6126,Clara,Vishney,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait40.png,CVISHNEY,011.44.1346.129268,2005-12-10T20:00:00.000Z,SA_REP,10500,0.25,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6129,O-6128,Danielle,Greene,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait7.png,DGREENE,011.44.1346.229268,2007-04-18T20:00:00.000Z,SA_REP,9500,0.15,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6130,O-6129,Mattea,Marvins,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait42.png,MMARVINS,011.44.1346.329268,2008-02-23T20:00:00.000Z,SA_REP,7200,0.1,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6131,O-6127,David,Lee,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait100.png,DLEE,011.44.1346.529268,2008-03-22T20:00:00.000Z,SA_REP,6800,0.1,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6132,O-6130,Sundar,Ande,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait101.png,SANDE,011.44.1346.629268,2008-04-23T20:00:00.000Z,SA_REP,6400,0.1,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6133,O-6111,Amit,Banda,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait102.png,ABANDA,011.44.1346.729268,2008-05-20T20:00:00.000Z,SA_REP,6200,0.1,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6134,O-6111,Lisa,Ozer,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait43.png,LOZER,011.44.1343.929268,2005-04-10T20:00:00.000Z,SA_REP,11500,0.25,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6135,O-6133,Harrison,Bloom,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait103.png,HBLOOM,011.44.1343.829268,2006-04-22T20:00:00.000Z,SA_REP,10000,0.2,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6136,O-6134,Tayler,Fox,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait104.png,TFOX,011.44.1343.729268,2006-02-23T20:00:00.000Z,SA_REP,9600,0.2,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6137,O-6135,William,Smith,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait105.png,WSMITH,011.44.1343.629268,2007-03-22T20:00:00.000Z,SA_REP,7400,0.15,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6138,O-6137,Elizabeth,Bates,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait44.png,EBATES,011.44.1343.529268,2007-04-23T20:00:00.000Z,SA_REP,7300,0.15,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6139,O-6137,Sundita,Kumar,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait46.png,SKUMAR,011.44.1343.329268,2008-05-20T20:00:00.000Z,SA_REP,6100,0.1,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6140,O-6139,Ellen,Abel,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait49.png,EABEL,011.44.1644.429267,2004-06-10T19:00:00.000Z,SA_REP,11000,0.3,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6141,O-6140,Alyssa,Hutton,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait53.png,AHUTTON,011.44.1644.429266,2005-04-18T20:00:00.000Z,SA_REP,8800,0.25,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6142,O-6138,Jonathon,Taylor,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait106.png,JTAYLOR,011.44.1644.429265,2006-04-23T20:00:00.000Z,SA_REP,8600,0.2,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6143,O-6142,Jack,Livingston,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait107.png,JLIVINGS,011.44.1644.429264,2006-05-22T20:00:00.000Z,SA_REP,8400,0.2,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6144,O-6138,Kimberely,Grant,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait55.png,KGRANT,011.44.1644.429263,2007-06-23T20:00:00.000Z,SA_REP,7000,0.15,,6000,,12008,,,,,,,,
O-6145,O-6144,Charles,Johnson,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait108.png,CJOHNSON,011.44.1644.429262,2008-02-03T20:00:00.000Z,SA_REP,6200,0.1,80,6000,Oxford,12008,Sales,2500,Magdalen Centre The Oxford Science Park,OX9 9ZB,UK,United Kingdom,1,Europe
O-6146,O-6142,Winston,Taylor,Shipping Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait109.png,WTAYLOR,650.507.9876,2006-02-23T20:00:00.000Z,SH_CLERK,3200,,50,2500,California,5500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6147,O-6136,Jean,Fleaur,Shipping Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait59.png,JFLEAUR,650.507.9877,2006-03-22T20:00:00.000Z,SH_CLERK,3100,,50,2500,California,5500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6148,O-6147,Martha,Sullivan,Shipping Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait60.png,MSULLIVA,650.507.9878,2007-07-20T20:00:00.000Z,SH_CLERK,2500,,50,2500,California,5500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6149,O-6136,Girard,Geoni,Shipping Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait110.png,GGEONI,650.507.9879,2008-03-02T20:00:00.000Z,SH_CLERK,2800,,50,2500,California,5500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6150,O-6149,Nandita,Sarchand,Shipping Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait61.png,NSARCHAN,650.509.1876,2004-02-26T20:00:00.000Z,SH_CLERK,4200,,50,2500,California,5500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6151,O-6150,Alexis,Bull,Shipping Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait111.png,ABULL,650.509.2876,2005-03-19T21:00:00.000Z,SH_CLERK,4100,,50,2500,California,5500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
O-6152,O-6148,Julia,Dellinger,Shipping Clerk,https://bumbeishvili.github.io/avatars/avatars/portrait63.png,JDELLING,650.509.3876,2006-07-23T20:00:00.000Z,SH_CLERK,3400,,50,2500,California,5500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
